interaction_id,age,job,marital,education,default,housing,loan,month,day_of_week,campaign,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,reward,arm,previously_contacted,pdays_since_previous,age_group
12,29,blue-collar,single,high.school,no,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
13,57,housemaid,divorced,basic.4y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
14,35,blue-collar,married,basic.6y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
15,54,retired,married,basic.9y,unknown,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
16,35,blue-collar,married,basic.6y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
17,46,blue-collar,married,basic.6y,unknown,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
18,50,blue-collar,married,basic.9y,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
19,39,management,single,basic.9y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
20,30,unemployed,married,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
21,55,blue-collar,married,basic.4y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
22,55,retired,single,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
23,41,technician,single,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
24,37,admin.,married,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
25,35,technician,married,university.degree,no,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
26,59,technician,married,unknown,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
27,39,self-employed,married,basic.9y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
28,54,technician,single,university.degree,unknown,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
29,55,unknown,married,university.degree,unknown,unknown,unknown,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
30,46,admin.,married,unknown,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
31,59,technician,married,unknown,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
32,49,blue-collar,married,unknown,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
33,54,management,married,basic.4y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
34,54,blue-collar,divorced,basic.4y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
35,55,unknown,married,basic.4y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
36,34,services,married,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
37,52,technician,married,basic.9y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
38,41,admin.,married,university.degree,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
39,56,technician,married,basic.4y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
40,58,management,unknown,university.degree,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
41,32,entrepreneur,married,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
42,38,admin.,single,professional.course,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
43,57,admin.,married,university.degree,no,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
44,44,admin.,married,university.degree,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
45,42,technician,single,professional.course,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
46,57,admin.,married,university.degree,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
47,40,blue-collar,married,basic.9y,no,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
48,35,admin.,married,university.degree,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
49,45,blue-collar,married,basic.9y,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
50,54,admin.,married,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
51,39,housemaid,married,basic.4y,no,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
52,60,admin.,married,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,60_plus
53,53,admin.,single,professional.course,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
54,55,blue-collar,married,basic.4y,unknown,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
55,55,technician,married,professional.course,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
56,50,management,married,university.degree,unknown,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
57,45,services,married,high.school,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
58,55,unemployed,married,professional.course,unknown,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
59,25,technician,single,university.degree,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
60,47,entrepreneur,married,university.degree,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
61,51,blue-collar,married,basic.9y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
62,42,blue-collar,married,basic.6y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
63,42,blue-collar,married,basic.6y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
64,48,admin.,married,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
65,37,admin.,married,university.degree,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
66,44,blue-collar,single,basic.9y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
67,33,admin.,married,unknown,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
68,56,admin.,married,basic.9y,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
69,44,blue-collar,single,basic.4y,unknown,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
70,41,management,married,basic.6y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
71,44,management,divorced,university.degree,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
72,47,admin.,married,university.degree,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
73,57,unknown,married,unknown,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
74,37,admin.,married,university.degree,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
75,41,blue-collar,divorced,basic.4y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,40_49
76,55,technician,married,university.degree,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
77,33,services,married,high.school,unknown,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
78,55,management,married,unknown,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
79,42,blue-collar,married,basic.9y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
80,50,blue-collar,married,basic.4y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
81,51,blue-collar,married,basic.4y,unknown,unknown,unknown,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
82,38,admin.,married,high.school,unknown,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
83,49,entrepreneur,married,university.degree,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,40_49
84,38,technician,single,university.degree,no,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
85,31,admin.,divorced,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
86,41,management,married,basic.6y,no,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
87,39,admin.,married,university.degree,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
88,49,technician,married,basic.9y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,40_49
89,34,admin.,married,high.school,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
90,35,admin.,married,university.degree,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
91,57,unknown,married,unknown,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
92,60,admin.,married,unknown,unknown,no,yes,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,60_plus
93,33,unemployed,married,basic.9y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
94,42,blue-collar,married,basic.6y,no,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
95,45,services,married,professional.course,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
96,42,management,married,university.degree,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
97,53,admin.,divorced,university.degree,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
98,37,technician,single,professional.course,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
99,44,blue-collar,married,basic.6y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
100,54,services,married,unknown,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
101,49,blue-collar,married,basic.4y,no,no,no,may,mon,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
102,54,services,married,unknown,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
103,52,admin.,divorced,university.degree,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
104,52,admin.,divorced,university.degree,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
105,43,services,single,high.school,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
106,34,housemaid,married,basic.6y,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
107,35,admin.,married,high.school,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
108,42,entrepreneur,married,unknown,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
109,43,technician,married,unknown,unknown,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
110,60,retired,divorced,university.degree,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,60_plus
111,58,unemployed,married,basic.4y,unknown,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
112,35,services,divorced,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
113,55,blue-collar,married,basic.9y,unknown,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
114,37,management,married,university.degree,no,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
115,36,blue-collar,married,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
116,52,admin.,divorced,university.degree,no,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
117,57,blue-collar,divorced,unknown,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
118,56,admin.,married,unknown,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
119,48,blue-collar,divorced,basic.4y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
120,40,blue-collar,married,high.school,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
121,49,blue-collar,divorced,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
122,41,services,married,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
123,45,technician,married,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
124,32,admin.,married,university.degree,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
125,42,admin.,married,university.degree,no,no,yes,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
126,50,admin.,married,basic.6y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
127,31,technician,divorced,professional.course,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
128,56,retired,married,basic.4y,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
129,41,technician,married,professional.course,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,40_49
130,37,blue-collar,married,basic.6y,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
131,41,technician,married,professional.course,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
132,35,blue-collar,married,unknown,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
133,37,blue-collar,married,basic.6y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
134,52,management,married,university.degree,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
135,39,management,divorced,university.degree,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
136,39,housemaid,married,basic.4y,unknown,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
137,56,blue-collar,married,basic.4y,unknown,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
138,34,services,married,high.school,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
139,45,blue-collar,married,basic.9y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,40_49
140,43,unemployed,single,university.degree,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
141,56,management,married,unknown,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
142,39,management,married,university.degree,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
143,53,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
144,38,unknown,divorced,high.school,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
145,42,blue-collar,married,basic.4y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
146,42,blue-collar,married,basic.4y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
147,35,admin.,single,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
148,40,admin.,married,university.degree,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
149,51,blue-collar,married,basic.4y,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
150,60,blue-collar,married,basic.9y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,60_plus
151,56,entrepreneur,married,unknown,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
152,39,services,divorced,high.school,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
153,56,entrepreneur,married,unknown,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
154,40,blue-collar,married,unknown,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
155,36,blue-collar,married,basic.9y,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
156,51,blue-collar,married,unknown,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
157,51,blue-collar,married,unknown,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
158,43,technician,single,professional.course,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
159,59,services,married,high.school,no,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
160,24,management,single,university.degree,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
161,37,blue-collar,single,basic.9y,unknown,yes,yes,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
162,40,blue-collar,married,basic.9y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
163,42,blue-collar,married,basic.9y,unknown,no,no,may,mon,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
164,39,services,divorced,high.school,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
165,37,entrepreneur,married,basic.6y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
166,38,services,married,high.school,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
167,56,admin.,divorced,unknown,unknown,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
168,40,blue-collar,married,unknown,no,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
169,54,management,divorced,university.degree,no,yes,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
170,43,blue-collar,married,high.school,unknown,no,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
171,36,services,married,high.school,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
172,45,technician,married,university.degree,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
173,42,admin.,single,university.degree,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
174,43,services,married,high.school,no,no,no,may,mon,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
175,46,management,married,basic.9y,no,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
176,44,services,married,high.school,no,yes,yes,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
177,51,admin.,single,basic.6y,no,no,no,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
178,28,services,married,high.school,no,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,under_30
179,37,blue-collar,married,basic.9y,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
180,34,technician,married,high.school,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
181,46,blue-collar,married,basic.6y,unknown,yes,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
182,42,blue-collar,married,basic.9y,no,yes,yes,may,mon,2,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,1,telephone,0,,40_49
183,36,admin.,married,university.degree,no,yes,no,may,mon,3,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,30_39
184,54,blue-collar,married,basic.4y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
185,57,management,married,university.degree,no,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
186,51,technician,married,basic.6y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
187,54,retired,married,high.school,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,50_59
188,49,blue-collar,married,basic.4y,unknown,no,no,may,mon,1,0,nonexistent,1.1,93.994,-36.4,4.857,5191.0,0,telephone,0,,40_49
